Fiscal Year,NAICS,Employer,sum(Initial Approvals),sum(Initial Denials),ApprovalRate
2016,54,navigant,13,0,1.0
2015,54,key,13,4,0.7647058823529411
2017,33,advantest,13,0,1.0
2014,52,rbc capital markets,13,0,1.0
2018,62,methodist le bonheur healthcare,13,2,0.8666666666666667
2016,54,sai,13,1,0.9285714285714286
2013,54,fractal analytics,13,3,0.8125
2016,33,nexteer automotive,13,0,1.0
2012,54,aker subsea,13,0,1.0
2015,54,sanguineware,13,0,1.0
2013,62,department of veterans affairs,13,0,1.0
2019,61,of nc at charlotte,13,0,1.0
2012,54,moody's analytics (a subsidiary of,13,0,1.0
2016,54,enquero,13,0,1.0
2012,54,nihaki,13,0,1.0
2016,61,boston college,13,0,1.0
2012,54,srnl,13,8,0.6190476190476191
2019,54,scry analytics,13,0,1.0
2013,52,sovereign bank,13,0,1.0
2014,33,echostar,13,0,1.0
2014,54,a10,13,0,1.0
2016,54,intalent,13,0,1.0
2016,54,iquadra,13,0,1.0
2013,54,neusoft,13,0,1.0
2014,54,mas  a mas s,13,3,0.8125
2014,54,workflow,13,2,0.8666666666666667
2016,54,vmturbo,13,0,1.0
2015,62,st john hosp  medical ctr,13,0,1.0
2018,52,jefferies,13,2,0.8666666666666667
2014,54,bus reporting mgt   dba brm,13,0,1.0
2017,61,dartmouth college,13,0,1.0
2013,54,ba nolinks,13,6,0.6842105263157895
2013,54,interra   i,13,0,1.0
2014,54,advantage nical,13,1,0.9285714285714286
2016,54,ssb,13,3,0.8125
2012,54,wolfram research,13,0,1.0
2012,54,consultants,13,1,0.9285714285714286
2019,33,nexteer automotive,13,1,0.9285714285714286
2019,54,tekgence,13,6,0.6842105263157895
2012,54,bridge,13,0,1.0
2012,54,aptiva,13,1,0.9285714285714286
2013,33,xerox,13,0,1.0
2014,54,launch,13,0,1.0
2018,54,sapot,13,15,0.4642857142857143
2015,54,vedware,13,0,1.0
2014,54,researchof the univ of hawai,13,0,1.0
2012,62,james p peters va medical center,13,0,1.0
2015,54,chemtex environmental oratory i,13,0,1.0
2012,33,tyco healthcare gr  dba covidien,13,0,1.0
2016,54,the advisory board,13,1,0.9285714285714286
2012,52,the travelers indemnity,13,0,1.0
2012,54,spirent,13,1,0.9285714285714286
2017,55,citizens,13,0,1.0
2012,54,eemphasys,13,0,1.0
2013,54,novartis pharmaceuticals,13,0,1.0
2014,54,easpire,13,2,0.8666666666666667
2016,54,adecco  na  modis,13,1,0.9285714285714286
2016,54,strategicexperts,13,3,0.8125
2013,54,automotive robotics,13,0,1.0
2013,54,urs,13,0,1.0
2013,32,amneal pharmaceuticals of ny,13,0,1.0
2019,99,domain,13,0,1.0
2017,54,riverbed,13,0,1.0
2014,52,bbt,13,0,1.0
2013,54,sbp,13,0,1.0
2012,54,ishi,13,0,1.0
2015,54,promantus,13,0,1.0
2019,51,egencia,13,1,0.9285714285714286
2017,62,feinstein inst for med research,13,0,1.0
2013,33,dell prod  process innovation ser,13,1,0.9285714285714286
2012,54,erp and erp,13,6,0.6842105263157895
2018,33,abb,13,2,0.8666666666666667
2016,51,medeanalytics,13,0,1.0
2015,54,facebook,13,0,1.0
2013,54,emergys,13,0,1.0
2019,54,sure,13,0,1.0
2019,54,apttus,13,0,1.0
2015,54,icon,13,0,1.0
2015,54,orbit,13,0,1.0
2014,54,advantage,13,10,0.5652173913043478
2018,61,texas state univ,13,0,1.0
2019,61,of california merced,13,0,1.0
2019,52,tower research capital,13,0,1.0
2012,54,sumtotal,13,0,1.0
2015,54,ebsminds,13,2,0.8666666666666667
2016,54,wave era,13,1,0.9285714285714286
2014,54,performance  ny,13,3,0.8125
2012,52,jefferies,13,1,0.9285714285714286
2019,54,sid,13,0,1.0
2019,56,g,13,6,0.6842105263157895
2013,54,pro,13,0,1.0
2019,52,arrowstreet capital  partnershi,13,0,1.0
2012,54,kmk,13,0,1.0
2016,54,minds,13,0,1.0
2016,54,smithjjr  subsidiary of sm,13,0,1.0
2014,62,the metrohealth,13,0,1.0
2019,33,viasat,13,0,1.0
2015,51,metricstream,13,0,1.0
2013,54,anveta,13,1,0.9285714285714286
2016,52,alliancebernstein,13,0,1.0
2014,54,clutchpoint,13,4,0.7647058823529411
2016,61,univ of louisiana at lafayette,13,1,0.9285714285714286
2013,54,cdi,13,1,0.9285714285714286
2019,54,d2sol,13,1,0.9285714285714286
2018,54,digerati,13,4,0.7647058823529411
2013,54,aker subsea,13,0,1.0
2019,54,autoliv asp,13,1,0.9285714285714286
2017,52,morningstar,13,1,0.9285714285714286
2013,54,rayonsoft,13,0,1.0
2014,54,arista,13,0,1.0
2018,62,univ of aama hlth  foundati,13,0,1.0
2018,62,rochester general hospital,13,0,1.0
2018,54,commvault,13,1,0.9285714285714286
2019,54,silicon oratories,13,0,1.0
2016,54,eiferware,13,0,1.0
2019,54,infobiz,13,50,0.20634920634920634
2016,54,southern medical partners,13,0,1.0
2018,61,loyola univ chicago,13,0,1.0
2015,54,it people,13,0,1.0
2013,51,brightedge,13,0,1.0
2018,56,moodys investors,13,0,1.0
2014,54,the jackson oratory,13,0,1.0
2012,51,nokia siemens,13,0,1.0
2015,61,tufts univ,13,0,1.0
2016,54,viptela,13,0,1.0
2019,52,houlihan lokey,13,8,0.6190476190476191
2012,56,health carousel,13,0,1.0
2013,62,the mary imogene bassett hosp db,13,0,1.0
2017,61,utah state univ,13,0,1.0
2012,61,state univ of ny at binghamton,13,0,1.0
2017,54,kollasoft,13,2,0.8666666666666667
2018,61,lycee francais de new york,13,0,1.0
2016,54,stowers inst for med research,13,2,0.8666666666666667
2016,54,selectiva,13,1,0.9285714285714286
2017,54,halliburton energy,13,0,1.0
2016,33,corning,13,0,1.0
2016,54,gomiapp,13,0,1.0
2019,51,nbcuniversal media,13,0,1.0
2018,54,weil gotshal  manges,13,2,0.8666666666666667
2015,54,konkasoft  dbaikon,13,2,0.8666666666666667
2016,54,skillsight,13,12,0.52
2012,54,frontline,13,0,1.0
2019,52,fmr dba fidelity investment,13,2,0.8666666666666667
2012,54,kalven,13,0,1.0
2015,54,cygnus professionals,13,0,1.0
2012,52,markit north,13,0,1.0
2015,52,n gen life insurance co,13,0,1.0
2018,33,gulfstream aerospace,13,1,0.9285714285714286
2019,54,cbi,13,2,0.8666666666666667
2012,54,eptron,13,1,0.9285714285714286
2018,54,touchpoints  duns 1380,13,4,0.7647058823529411
2018,62,trinity medical center,13,0,1.0
2017,71,igt,13,0,1.0
2016,54,sagitec,13,2,0.8666666666666667
2016,54,la jolla inst for allergy  immuno,13,0,1.0
2012,54,logistic,13,3,0.8125
2015,33,tektronix texas,13,0,1.0
2014,54,objectnet,13,1,0.9285714285714286
2013,54,314e,13,3,0.8125
2013,54,i vision,13,4,0.7647058823529411
2012,62,hallmark rehabilitation gp,13,1,0.9285714285714286
2012,56,kelly,13,0,1.0
2019,54,flextrade,13,0,1.0
2018,54,isite,13,1,0.9285714285714286
2019,61,univ of wisconsin whitewater,13,0,1.0
2012,52,wells fargo bank n a a subsidiary,13,0,1.0
2014,54,fast switch,13,0,1.0
2017,33,sk hynix memory,13,0,1.0
2015,61,saint louis univ,13,1,0.9285714285714286
2012,54,akt,13,1,0.9285714285714286
2018,54,apps,13,8,0.6190476190476191
2014,54,matrix  exzac,13,0,1.0
2015,54,galaxe,13,3,0.8125
2014,54,numen,13,4,0.7647058823529411
2019,33,finisar,13,1,0.9285714285714286
2016,54,kelly maxson  duns079237324,13,0,1.0
2013,54,doli,13,1,0.9285714285714286
2013,61,univ of wisconsin milwaukee,13,0,1.0
2019,54,binary computer intl,13,2,0.8666666666666667
2016,42,samsung electronics,13,1,0.9285714285714286
2013,54,tactel,13,0,1.0
2019,44,stitch fix,13,0,1.0
2015,54,virtuoso,13,6,0.6842105263157895
2013,54,stowers inst for medical research,13,0,1.0
2018,54,cerium,13,0,1.0
2016,54,perkins eastman architects pc,13,0,1.0
2019,52,the blackstone,13,3,0.8125
2017,62,h lee moffitt cancer ctr  researc,13,0,1.0
2012,54,paradigms intl,13,0,1.0
2016,54,gensler,13,0,1.0
2019,51,svc titan,13,2,0.8666666666666667
2014,54,nexgen,13,0,1.0
2019,54,ebsco publishing dba ebscos,13,0,1.0
2016,72,starwood hotels  resorts worldwid,13,0,1.0
2018,62,thomas jefferson  hosp,13,0,1.0
2015,54,9to9ware,13,2,0.8666666666666667
2016,32,eco,13,0,1.0
2013,54,genuineit,13,0,1.0
2015,54,the salk inst for biological studi,13,0,1.0
2013,54,dizer,13,3,0.8125
2013,54,e3,13,0,1.0
2019,52,d e shaw,13,1,0.9285714285714286
2016,62,nychhc metropolitan hospital ctr,13,0,1.0
2015,54,amzur,13,0,1.0
2018,61,baruch college,13,0,1.0
2019,54,kairos,12,15,0.4444444444444444
2014,54,systel  of delaware,12,0,1.0
2014,54,one team,12,1,0.9230769230769231
2019,54,compu,12,1,0.9230769230769231
2012,54,adaptive spectrum  signal alignme,12,0,1.0
2015,61,of oregon,12,0,1.0
2017,62,appalachian regional healthcare in,12,0,1.0
2014,62,presence holy family med ctr,12,0,1.0
2016,54,smart computer engineers,12,2,0.8571428571428571
2018,62,peacehealth,12,0,1.0
2017,54,gege  research ctr,12,0,1.0
2012,54,paradigm,12,1,0.9230769230769231
2013,54,sysintelli,12,27,0.3076923076923077
2019,61,dartmouth college,12,1,0.9230769230769231
2016,53,zillow,12,0,1.0
2012,54,sphere,12,0,1.0
2019,61,of denver,12,0,1.0
2014,61,univ of central mo,12,0,1.0
2014,54,novartis pharmaceuticals,12,0,1.0
2016,54,ilogic,12,3,0.8
2012,54,storm8,12,0,1.0
2013,54,emr,12,0,1.0
2018,54,brook consultants,12,2,0.8571428571428571
2015,54,agama,12,0,1.0
2017,52,keybank national association,12,0,1.0
2017,32,bridgestone,12,0,1.0
2016,54,pamten,12,1,0.9230769230769231
2013,61,rutgers the state univ of nj,12,0,1.0
2013,54,silicon staff,12,2,0.8571428571428571
2018,54,sanford burnham prebys medical dis,12,0,1.0
2016,54,app,12,1,0.9230769230769231
2013,21,shell exploration  production co,12,0,1.0
2013,33,arm,12,0,1.0
2015,54,conglomerateit,12,0,1.0
2019,54,maq l l c dba maqware,12,4,0.75
2016,54,paycom payroll,12,0,1.0
2018,42,eastland food,12,0,1.0
2017,33,alcatel  lucent  dba nokia,12,0,1.0
2016,81,open society foundations,12,2,0.8571428571428571
2018,61,univ of north carolina wilmington,12,0,1.0
2019,45,mh sub i  dba internet brands i,12,9,0.5714285714285714
2014,54,lara tekies,12,1,0.9230769230769231
2018,54,sure,12,1,0.9230769230769231
2012,54,tekdynamics,12,0,1.0
2012,32,celanese,12,0,1.0
2014,54,aha synopsys,12,2,0.8571428571428571
2016,54,pyramid,12,1,0.9230769230769231
2016,61,ebs healthcare,12,0,1.0
2015,54,csznet,12,0,1.0
2017,33,fitbit,12,1,0.9230769230769231
2018,54,the jackson oratory,12,0,1.0
2014,33,panasonic avionics,12,0,1.0
2017,54,onward,12,1,0.9230769230769231
2019,54,terracon consultants,12,0,1.0
2017,62,boston medical center,12,0,1.0
2016,54,virtuoso,12,0,1.0
2019,51,vail,12,1,0.9230769230769231
2018,62,the devereux foundation,12,0,1.0
2016,54,prolifics testing,12,0,1.0
2018,52,td securities,12,0,1.0
2012,54,caresoft,12,0,1.0
2019,54,ca  industry name ca s,12,5,0.7058823529411765
2012,54,ecalix,12,2,0.8571428571428571
2014,33,kiva,12,0,1.0
2019,54,ny,12,5,0.7058823529411765
2015,54,elix,12,4,0.75
2019,51,centrify,12,4,0.75
2014,54,akraya,12,0,1.0
2015,61,lsu health sciences ctr at shrevep,12,0,1.0
2013,54,asap,12,0,1.0
2015,54,propelsys,12,3,0.8
2014,54,n2,12,3,0.8
2015,54,davis polk  wardwell,12,0,1.0
2016,54,osi,12,1,0.9230769230769231
2014,33,caterpillar,12,0,1.0
2013,54,glow,12,2,0.8571428571428571
2016,54,compunnelware,12,1,0.9230769230769231
2016,54,summitworks,12,3,0.8
2018,54,two pore guys,12,1,0.9230769230769231
2017,54,pharmaace,12,0,1.0
2017,62,the mary imogene bassett hosp db,12,0,1.0
2014,51,aim big  dba axiom  gr,12,3,0.8
2012,54,varnar,12,0,1.0
2013,54,orbit,12,1,0.9230769230769231
2019,54,litmus7,12,4,0.75
2017,54,ideo,12,0,1.0
2019,61,coursera,12,0,1.0
2013,54,launch,12,1,0.9230769230769231
2018,54,ibsware,12,8,0.6
2012,54,risk management,12,0,1.0
2017,54,vsion,12,2,0.8571428571428571
2017,54,neo prism,12,4,0.75
2018,61,the univ of ms,12,1,0.9230769230769231
2013,54,riverbed,12,0,1.0
2013,51,jiveware,12,0,1.0
2015,54,cybageware,12,0,1.0
2014,54,lovelace respiratory research inst,12,0,1.0
2014,54,qualihiware,12,0,1.0
2018,54,devise,12,15,0.4444444444444444
2016,54,med science  computing,12,1,0.9230769230769231
2017,52,blackrock institutional trustn,12,0,1.0
2013,54,world wide   dba,12,0,1.0
2016,51,shoretel,12,0,1.0
2012,52,bank of china,12,1,0.9230769230769231
2012,54,synergy,12,3,0.8
2014,54,iav automotive engineering,12,0,1.0
2012,44,cvspharmacy,12,0,1.0
2016,54,novus,12,0,1.0
2017,54,indotronix,12,0,1.0
2017,54,youngsoft,12,1,0.9230769230769231
2014,33,rf micro devices,12,1,0.9230769230769231
2017,52,santander bank na,12,0,1.0
2018,54,imcs,12,6,0.6666666666666666
2015,54,silicon oratories,12,0,1.0
2015,54,altimetrik,12,5,0.7058823529411765
2017,33,alstom grid,12,0,1.0
2018,54,horizonech,12,13,0.48
2019,54,tri ventures  dba aquent,12,5,0.7058823529411765
2015,54,beta,12,22,0.35294117647058826
2018,54,shearman  sterling,12,0,1.0
2015,61,san francisco state univ,12,0,1.0
2013,52,federal home loan mortgage co,12,0,1.0
2012,54,research fdn of state univ of ny,12,1,0.9230769230769231
2013,51,aspen,12,0,1.0
2014,54,proficient,12,0,1.0
2015,54,veritis,12,0,1.0
2015,54,ipsoft,12,0,1.0
2016,61,savanah college of art  design in,12,2,0.8571428571428571
2012,62,hurley medical center,12,0,1.0
2013,54,novalink,12,1,0.9230769230769231
2016,54,soft,12,2,0.8571428571428571
2017,61,harmony public schools,12,0,1.0
2014,52,msci,12,0,1.0
2018,54,savi,12,9,0.5714285714285714
2018,51,dow jones and,12,0,1.0
2016,54,skidmore owings  merrill,12,0,1.0
2012,54,dizer,12,1,0.9230769230769231
2016,54,prism,12,3,0.8
2016,33,johnson controls,12,1,0.9230769230769231
2015,81,intl rescue committee,12,1,0.9230769230769231
2014,11,jbs five rivers cattle feeding,12,0,1.0
2016,54,symphony teleca,12,1,0.9230769230769231
2012,62,jersey city medical center,12,0,1.0
2013,61,old dominion,12,0,1.0
2014,54,dw matrix,12,2,0.8571428571428571
2018,51,ixl learning,12,2,0.8571428571428571
2019,61,queens college of the city univ of,12,0,1.0
2019,33,danfoss,12,0,1.0
2019,61,illinois institute of,12,0,1.0
2015,61,ebs healthcare,12,0,1.0
2017,61,ca state univ sacramento,12,0,1.0
2018,54,lancesoft,12,6,0.6666666666666666
2014,54,infostretch,12,0,1.0
2016,52,aqr capital management,12,0,1.0
2014,54,sunpros,12,5,0.7058823529411765
2014,54,sdg,12,0,1.0
2019,32,millennium pharmaceuticals,12,0,1.0
2018,54,michael baker,12,0,1.0
2018,54,cubic,12,6,0.6666666666666666
2013,52,fannie mae,12,0,1.0
2014,54,noblesoft,12,0,1.0
2018,42,caremark,12,0,1.0
2014,32,reckitt benckiser,12,1,0.9230769230769231
2013,54,grid dynamics intl,12,0,1.0
2015,54,coolsoft,12,0,1.0
2015,51,amadeus north,12,0,1.0
2019,52,united healthcare,12,1,0.9230769230769231
2013,31,hj heinz,12,0,1.0
2016,54,validation,12,2,0.8571428571428571
2015,54,lcc,12,0,1.0
2019,54,moonit,12,6,0.6666666666666666
2019,54,general,12,5,0.7058823529411765
2019,54,siemens medical,12,2,0.8571428571428571
2012,51,open text,12,1,0.9230769230769231
2016,51,splunk,12,0,1.0
2012,54,slalom,12,1,0.9230769230769231
2019,54,esvee,12,3,0.8
2019,61,houston independent school dist,12,0,1.0
2018,31,pepsico,12,0,1.0
2012,33,echostar,12,2,0.8571428571428571
2012,54,cignex,12,0,1.0
2019,33,sunpower,12,0,1.0
2012,54,ntrust,12,0,1.0
2016,61,wright ctr for graduate med ed,12,0,1.0
2014,54,isrway,12,1,0.9230769230769231
2015,61,michigan nological univ,12,0,1.0
2015,61,univ of massachusetts boston,12,1,0.9230769230769231
2017,32,shutterfly,12,0,1.0
2016,33,omnivision,12,0,1.0
2015,54,hanbon mi ii  dba nical e,12,0,1.0
2014,54,primelink,12,0,1.0
2016,54,aption,12,5,0.7058823529411765
2014,54,professional access,12,0,1.0
2017,54,qa,12,0,1.0
2014,51,dst worldwide,12,0,1.0
2012,48,us airways,12,0,1.0
2015,54,softsol,12,3,0.8
2015,54,pamten,12,12,0.5
2013,32,reckitt benckiser,12,0,1.0
2014,33,cypress semiconductor,12,0,1.0
2017,54,excel,12,1,0.9230769230769231
2016,54,avant,12,33,0.26666666666666666
2018,54,yash,12,36,0.25
2018,54,tekinvaderz,12,5,0.7058823529411765
2013,54,tekstrom,12,0,1.0
2015,61,california polynic state univ,12,0,1.0
2016,54,research foundation of the state u,12,0,1.0
2013,54,vensoft,12,1,0.9230769230769231
2015,54,blue star,12,0,1.0
2019,54,catalina marketing,12,0,1.0
2015,54,texas am engineering experiment s,12,0,1.0
2014,54,csmware,12,1,0.9230769230769231
2012,33,tyco electronicsa te connect,12,2,0.8571428571428571
2014,61,the univ of tx at el paso,12,2,0.8571428571428571
2016,54,model n,12,0,1.0
2016,54,i link,12,1,0.9230769230769231
2018,33,lutron electronics,12,1,0.9230769230769231
2018,54,cdm smith,12,2,0.8571428571428571
2019,61,district of columbia public school,12,0,1.0
2019,54,pinnacle nical,12,4,0.75
2012,61,oakland univ,12,0,1.0
2017,51,appdynamics,12,0,1.0
2016,61,tufts univ school of medicine,12,0,1.0
2018,33,marvell semiconductor,12,0,1.0
2012,54,bentley,12,0,1.0
2013,33,novellus,12,0,1.0
2019,54,ss,12,4,0.75
2013,61,lsu health sciences center,12,0,1.0
2013,52,bnp paribas,12,0,1.0
2019,54,pantar,12,5,0.7058823529411765
2019,33,alstom grid,12,0,1.0
2017,54,leap,12,0,1.0
2014,54,tetrasoft,12,4,0.75
2019,42,axway,12,0,1.0
2015,61,ca state univ northridgeuniv,12,0,1.0
2013,54,vastika,12,3,0.8
2014,54,nicalware,12,0,1.0
2018,33,linear,12,0,1.0
2019,54,tsmc,12,0,1.0
2015,54,p3,12,1,0.9230769230769231
2015,54,whitehead institute for biomedical,12,0,1.0
2013,54,hylandware,12,0,1.0
2015,54,novisys,12,1,0.9230769230769231
2018,33,trimble,12,1,0.9230769230769231
2018,61,lexington county school district o,12,1,0.9230769230769231
2014,54,acropetal,12,0,1.0
2019,54,sasaki,12,1,0.9230769230769231
2019,61,of maine,12,1,0.9230769230769231
2019,62,pristine rehab care,12,0,1.0
2018,54,cat,12,6,0.6666666666666666
2014,54,innovative,12,4,0.75
2015,54,ang,12,1,0.9230769230769231
2018,54,corning research  development cor,12,0,1.0
2018,54,n,12,11,0.5217391304347826
2018,54,simpson gumpertz  heger,12,1,0.9230769230769231
2015,61,univ of rhode island,12,0,1.0
2014,54,sof intl,12,1,0.9230769230769231
2013,54,reflexis,12,0,1.0
2012,54,broken hill proprietary,12,0,1.0
2019,61,suny upstate medical univ,12,0,1.0
2014,54,img,12,1,0.9230769230769231
2016,54,slri,12,0,1.0
2013,32,quintiles,12,0,1.0
2019,54,ameritek,12,0,1.0
2013,54,srt,12,7,0.631578947368421
2014,54,sure,12,1,0.9230769230769231
2013,54,successfactors,12,1,0.9230769230769231
2014,54,horizonsoft,12,1,0.9230769230769231
2015,51,wolters kluwer united states,12,0,1.0
2015,54,lilax,12,6,0.6666666666666666
2019,54,zscaler,12,0,1.0
2018,33,philips lighting na,12,1,0.9230769230769231
2017,61,rutgers the state univ of nj,12,0,1.0
2019,62,vidant medical,12,0,1.0
2017,54,isilon,12,0,1.0
2019,54,margin5,12,0,1.0
2016,33,cymer,12,0,1.0
2014,54,eastbanc,12,0,1.0
2015,52,trans life insurance co,12,0,1.0
2014,61,golden rule schools,12,0,1.0
2013,61,univ of north tx,12,0,1.0
2014,54,imbuesys,12,1,0.9230769230769231
2012,56,orbitz worldwide,12,0,1.0
2012,54,fermi research alliance,12,0,1.0
2017,54,employment,12,0,1.0
2019,54,dia,12,0,1.0
2012,54,trisync,12,3,0.8
2015,54,kr elixer,12,0,1.0
2015,52,morningstar  a morningstar co,12,0,1.0
2012,52,rbs securities,12,0,1.0
2018,54,secureworks,12,0,1.0
2017,52,insurance  office,12,0,1.0
2019,51,acxiom,12,0,1.0
2016,54,delta,12,1,0.9230769230769231
2018,54,paycor,12,2,0.8571428571428571
2015,61,the curators of the univ of mo,12,2,0.8571428571428571
2016,33,fisker automotive   grp,12,0,1.0
2018,54,samiti,12,5,0.7058823529411765
2015,52,fannie mae,12,0,1.0
2012,33,litepoint,12,0,1.0
2016,54,pricol,12,0,1.0
2012,61,texas am hlth science ctr,12,0,1.0
2016,54,laksan,12,1,0.9230769230769231
2013,51,metricstream,12,0,1.0
2018,44,fresh direct,12,3,0.8
2012,54,adept computer consultants,12,0,1.0
2019,52,deutsche bank new york branch,12,3,0.8
2015,54,aptiva,12,1,0.9230769230769231
2013,62,children s national medical center,12,0,1.0
2019,45,fanatics retail  fulfullment,12,0,1.0
2016,54,yanaware,12,0,1.0
2018,51,mulesoft,12,1,0.9230769230769231
2012,51,taketwo interactiveware,12,0,1.0
2015,54,infinity,12,1,0.9230769230769231
2019,54,proofpoint,12,0,1.0
2015,56,sparc,12,0,1.0
2015,54,eminentware,12,1,0.9230769230769231
2019,54,thumbtack,12,0,1.0
2017,33,cummins emission,12,2,0.8571428571428571
2018,33,gogo,12,0,1.0
2016,61,of maine,12,0,1.0
2014,54,doyensys,12,1,0.9230769230769231
2012,56,professional aviation mgt,12,1,0.9230769230769231
2018,54,mahan,12,4,0.75
2012,54,euclid,12,0,1.0
2014,54,across borders mgt cons,12,0,1.0
2012,62,abington memorial hospital,12,0,1.0
2019,54,tracelink,12,0,1.0
2018,62,mount sinai genomics  dba sema4,12,0,1.0
2014,32,pharmaceutics intl  pii,12,0,1.0
2018,81,bill melinda gates foundation,12,1,0.9230769230769231
2016,51,dellware,12,0,1.0
2017,52,the prudential insurof,12,0,1.0
2012,54,mozilla,12,1,0.9230769230769231
2019,33,axon enterprise,12,0,1.0
2015,54,pro un,12,0,1.0
2012,54,cigital,12,0,1.0
2013,54,kyyba,12,2,0.8571428571428571
2019,54,microland,12,6,0.6666666666666666
2012,54,sourceinfo,12,1,0.9230769230769231
2015,54,medimmune,12,0,1.0
2013,51,comcast cable,12,0,1.0
2014,54,spirent,12,0,1.0
2013,52,chartis,12,0,1.0
2018,54,baanyanware,12,5,0.7058823529411765
2018,54,veritis,12,12,0.5
2013,45,wayfair,12,0,1.0
2016,54,merck sharp  dohme,12,0,1.0
2019,54,saicon consultants,12,3,0.8
2012,54,art,12,0,1.0
2019,62,reliant pro rehab,12,0,1.0
2018,54,chen  fan accountancy,12,0,1.0
2014,52,visa u s a,12,0,1.0
2012,54,navigant,12,0,1.0
2016,61,montana state univ,12,0,1.0
2015,54,flextronics,12,1,0.9230769230769231
2014,54,serene,12,1,0.9230769230769231
2013,45,stubhub,12,0,1.0
2016,54,srk,12,6,0.6666666666666666
2018,33,landis gyr,12,0,1.0
2017,54,across borders mgt  gr l,12,3,0.8
2012,61,james madison univ,12,0,1.0
2013,33,rf micro devices,12,0,1.0
2012,61,montclair state,12,0,1.0
2019,54,raas infotek,12,0,1.0
2019,54,it division  dba apeiro s,12,0,1.0
2018,61,san francisco state,12,0,1.0
2017,31,general mills,12,0,1.0
2014,54,nomura,12,0,1.0
2019,61,towson univ,12,0,1.0
2016,61,univ of nevada las vegas,12,2,0.8571428571428571
2019,33,gulfstream aerospace,12,3,0.8
2019,54,sapphirus,12,3,0.8
2015,54,saksoft,12,0,1.0
2019,54,svanaco  d b a neagle,12,0,1.0
2019,54,verisign,12,0,1.0
2012,51,sencha,12,0,1.0
2019,33,luk,12,0,1.0
2019,54,ana,12,0,1.0
2012,54,a10,12,0,1.0
2012,54,adaequare,12,1,0.9230769230769231
2019,62,danbury hospital,12,0,1.0
2013,33,siemens medical,12,0,1.0
2014,54,ak,12,1,0.9230769230769231
2015,54,loyalty methods,12,0,1.0
2012,54,headstream,12,1,0.9230769230769231
2016,54,tintri,12,0,1.0
2018,54,hdr architecture,12,0,1.0
2015,33,honeywell,12,0,1.0
2014,52,aetna life insurance,12,0,1.0
2015,54,o2,12,2,0.8571428571428571
2015,54,apps consultants,12,0,1.0
2017,54,indepth engineering,12,0,1.0
2013,99,facebook,12,0,1.0
2012,54,ez2,12,0,1.0
2019,54,tekinvaderz,12,8,0.6
2019,52,fifth third bank,12,0,1.0
2016,62,children s mercy hospitals and cli,12,0,1.0
2012,54,pmc sierra,12,0,1.0
2016,54,majesco,12,0,1.0
2017,54,sage,12,2,0.8571428571428571
2015,52,two sigma investments,12,0,1.0
2015,54,intelligence,12,0,1.0
2018,33,hgst,12,0,1.0
2016,54,cosmici,12,0,1.0
2013,52,inovant,12,0,1.0
2019,54,bridge,12,10,0.5454545454545454
2015,23,fluor enterprises,12,0,1.0
2012,81,world  institute,12,0,1.0
2012,51,tangome,12,0,1.0
2014,54,new england,12,0,1.0
2017,33,hermes microvision,12,0,1.0
2014,54,logix texas,12,0,1.0
2019,71,igt,12,3,0.8
2017,54,digerati,12,2,0.8571428571428571
2014,54,amphion,12,1,0.9230769230769231
2014,33,brocade,12,0,1.0
2015,54,syspro,12,0,1.0
2014,62,comprehab  dba compleat rehab,12,0,1.0
2019,54,prism,12,7,0.631578947368421
2012,61,michigan nological,12,1,0.9230769230769231
2014,54,eminentware,12,0,1.0
2017,54,computek,12,0,1.0
2013,54,cybermass,12,1,0.9230769230769231
2018,54,aption,12,8,0.6
2015,54,sunpros,12,2,0.8571428571428571
2016,54,lanco,12,2,0.8571428571428571
2017,54,north dome,12,7,0.631578947368421
2012,52,standard chartered bank,12,0,1.0
2019,54,ove arup  partners pc,12,0,1.0
2013,54,lawrence livermore natl security l,12,0,1.0
2019,54,hanu,12,27,0.3076923076923077
2012,54,pace,12,0,1.0
2018,54,sullivan  cromwell,12,0,1.0
2013,56,transunion,12,0,1.0
2015,54,commvault,12,0,1.0
2012,62,massachusetts gen hospmgpo,12,1,0.9230769230769231
2019,52,chicago mercantile exchange,12,0,1.0
2015,52,aqr capital management,12,0,1.0
2015,61,colorado school of mines,12,0,1.0
2015,54,capricorn,12,0,1.0
2019,52,john hancock life insuranceusa,12,0,1.0
2018,54,ipsoft,12,0,1.0
2016,54,skoruz,12,2,0.8571428571428571
2018,54,allied informatics,12,3,0.8
2016,22,entergy,12,0,1.0
2015,54,quest  na,12,0,1.0
2012,54,tekmark,12,0,1.0
2017,54,ncr,12,0,1.0
2019,54,pharmatek,12,6,0.6666666666666666
2017,33,jabil circuit,12,0,1.0
2013,61,espanola public schools,12,0,1.0
2013,54,saibersys,12,0,1.0
2016,62,northeast medical,12,0,1.0
2019,54,novisys,12,2,0.8571428571428571
2018,72,marriott,12,2,0.8571428571428571
2017,52,nationwide insurance,12,0,1.0
2015,54,marvel,12,2,0.8571428571428571
2012,54,mavenir,12,0,1.0
2014,51,splunk,12,0,1.0
2014,54,uis,12,6,0.6666666666666666
2015,61,tufts  school of medicin,12,0,1.0
2015,54,gensler,12,0,1.0
2015,32,ppd development,12,0,1.0
2016,54,logistic,12,2,0.8571428571428571
2017,61,lehigh,12,0,1.0
