skill,salary
Kubernetes,120000
Kubernetes,120000
Kubernetes,121762
Kubernetes,123000
Kubernetes,125000
Kubernetes,125000
Kubernetes,125000
Kubernetes,125000
Kubernetes,125000
Kubernetes,125000
Kubernetes,125500
Kubernetes,128000
Kubernetes,128000
Kubernetes,128000
Kubernetes,130000
Kubernetes,130000
Kubernetes,130000
Kubernetes,130000
Kubernetes,130000
Kubernetes,80000
Kubernetes,90002
Kubernetes,162300
Kubernetes,77000
Kubernetes,138362
Kubernetes,88691
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,105000
Kubernetes,105000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,120000
Kubernetes,120000
Kubernetes,120000
Kubernetes,123120
Kubernetes,130000
Kubernetes,130000
Kubernetes,80850
Kubernetes,89260
Kubernetes,90002
Kubernetes,80000
Kubernetes,82000
Kubernetes,87000
Kubernetes,87000
Kubernetes,90000
Kubernetes,95000
Kubernetes,98177
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,103000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,106000
Kubernetes,107000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,116600
Kubernetes,118000
Kubernetes,120000
Kubernetes,120000
Kubernetes,125000
Kubernetes,128271
Kubernetes,84184
Kubernetes,100000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,106000
Kubernetes,108160
Kubernetes,108160
Kubernetes,111300
Kubernetes,83000
Kubernetes,97275
Kubernetes,100000
Kubernetes,103040
Kubernetes,106000
Kubernetes,106605
Kubernetes,108150
Kubernetes,109368
Kubernetes,109970
Kubernetes,112270
Kubernetes,114790
Kubernetes,120000
Kubernetes,120000
Kubernetes,121900
Kubernetes,125000
Kubernetes,126000
Kubernetes,126000
Kubernetes,126000
Kubernetes,127293
Kubernetes,130000
Kubernetes,130478
Kubernetes,145000
Kubernetes,145000
Kubernetes,98850
Kubernetes,106000
Kubernetes,106591
Kubernetes,120000
Kubernetes,121581
Kubernetes,124000
Kubernetes,125400
Kubernetes,128038
Kubernetes,101091
Kubernetes,147000
Kubernetes,147000
Kubernetes,65229
Kubernetes,71802
Kubernetes,71802
Kubernetes,75000
Kubernetes,85000
Kubernetes,85000
Kubernetes,85000
Kubernetes,88254
Kubernetes,88254
Kubernetes,90000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,105000
Kubernetes,105000
Kubernetes,109762
Kubernetes,110000
Kubernetes,115142
Kubernetes,120000
Kubernetes,120000
Kubernetes,125000
Kubernetes,130000
Kubernetes,130000
Kubernetes,130000
Kubernetes,135000
Kubernetes,140000
Kubernetes,140000
Kubernetes,140000
Kubernetes,140000
Kubernetes,160000
Kubernetes,165360
Kubernetes,180000
Kubernetes,90000
Kubernetes,90000
Kubernetes,90000
Kubernetes,95000
Kubernetes,95000
Kubernetes,105000
Kubernetes,105000
Kubernetes,81182
Kubernetes,85000
